epoch,loss,accuracy
1.0,0.7907102,0.643279
2.0,0.64362377,0.7389002
3.0,0.45633158,0.8255601
4.0,0.36363885,0.8608961
5.0,0.3351089,0.87678206
6.0,0.31144628,0.8781059
7.0,0.28072134,0.89460284
8.0,0.2875355,0.8811609
9.0,0.23641483,0.91547865
10.0,0.24235147,0.90346235
11.0,0.26560518,0.89083505
12.0,0.21124184,0.9202648
13.0,0.22521824,0.91619146
14.0,0.23974784,0.89796335
15.0,0.20445181,0.91710794
16.0,0.20848456,0.9165988
17.0,0.22762966,0.90509164
18.0,0.20445906,0.92484725
19.0,0.1832369,0.9270876
20.0,0.18087469,0.9315682
21.0,0.17030177,0.9274949
22.0,0.16720092,0.93961304
23.0,0.23045094,0.9095723
24.0,0.16870388,0.93319756
25.0,0.16351779,0.9372709
26.0,0.18126042,0.9267821
27.0,0.1646189,0.9336049
28.0,0.17698474,0.93126273
29.0,0.16077735,0.942668
30.0,0.18957755,0.9245418
31.0,0.16933018,0.93890023
32.0,0.17897847,0.9216904
33.0,0.31195232,0.9021385
34.0,0.17539169,0.9342159
35.0,0.13619106,0.947556
36.0,0.16950616,0.92912424
37.0,0.17031515,0.9306517
38.0,0.21312067,0.9153768
39.0,0.15358473,0.9361507
40.0,0.1749517,0.92128307
41.0,0.16303807,0.93309575
42.0,0.14870046,0.9394094
43.0,0.16344813,0.9392057
44.0,0.16644053,0.9358452
45.0,0.15600277,0.9363544
46.0,0.16157012,0.93533605
47.0,0.18830943,0.9329939
48.0,0.13864058,0.94246435
49.0,0.1423482,0.94602853
50.0,0.13324971,0.94877803
51.0,0.1475496,0.94613034
52.0,0.153035,0.9498982
53.0,0.15674461,0.9363544
54.0,0.18050766,0.9274949
55.0,0.15712012,0.94103867
56.0,0.12439697,0.9531568
57.0,0.12332512,0.9575356
58.0,0.15028831,0.9447047
59.0,0.15264831,0.93676174
60.0,0.14135417,0.9497963
61.0,0.15677874,0.9320774
62.0,0.14322855,0.9465377
63.0,0.14036375,0.9434827
64.0,0.17467503,0.9382892
65.0,0.17426595,0.93604887
66.0,0.18202735,0.9234216
67.0,0.11985537,0.95509166
68.0,0.14928395,0.93890023
69.0,0.1471313,0.9406314
70.0,0.13042444,0.9540733
71.0,0.12667751,0.9569246
72.0,0.13537137,0.943279
73.0,0.17037348,0.93167007
74.0,0.14861944,0.942668
75.0,0.16875267,0.93533605
76.0,0.13772404,0.9419552
77.0,0.13165805,0.9470468
78.0,0.13869213,0.94867617
79.0,0.21587783,0.91680247
80.0,0.14155832,0.9492872
81.0,0.14024666,0.947556
82.0,0.12958078,0.95010185
83.0,0.12681864,0.9515275
84.0,0.16924286,0.93258655
85.0,0.13148546,0.9490835
86.0,0.14560863,0.93971485
87.0,0.12830706,0.954277
88.0,0.12769692,0.9527495
89.0,0.15119316,0.93869656
90.0,0.13795967,0.94185334
91.0,0.17478636,0.9295316
92.0,0.15159842,0.94124234
93.0,0.1748908,0.9287169
94.0,0.15798436,0.93625253
95.0,0.14522219,0.954277
96.0,0.13920392,0.9428717
97.0,0.12544696,0.95071286
98.0,0.14574721,0.9406314
99.0,0.12912251,0.94745415
100.0,0.13336839,0.94236255
101.0,0.14363532,0.945112
102.0,0.13520147,0.9413442
103.0,0.13684914,0.9447047
104.0,0.13938358,0.942668
105.0,0.15125205,0.9358452
106.0,0.12739864,0.9521385
107.0,0.15708223,0.94022405
108.0,0.12660594,0.949389
109.0,0.16103567,0.94114053
110.0,0.12933914,0.94521385
111.0,0.1356291,0.9483707
112.0,0.1450443,0.9437882
113.0,0.14618787,0.9364562
114.0,0.15746376,0.94317716
115.0,0.12256649,0.95305496
116.0,0.11464558,0.95570266
117.0,0.27057683,0.91995925
118.0,0.13059174,0.9477597
119.0,0.14627543,0.9358452
120.0,0.13573919,0.9471487
121.0,0.14862952,0.93900204
122.0,0.14657727,0.94175154
123.0,0.15006596,0.94032586
124.0,0.12682883,0.95224035
125.0,0.12657623,0.94959265
126.0,0.11639854,0.9571283
127.0,0.12701084,0.9503055
128.0,0.1527458,0.9395112
129.0,0.14168176,0.93971485
130.0,0.13508554,0.9541752
131.0,0.13313207,0.9429735
132.0,0.15059008,0.93961304
133.0,0.14740078,0.945723
134.0,0.15392697,0.9334012
135.0,0.13722637,0.942057
136.0,0.12246163,0.9528513
137.0,0.14139494,0.94083506
138.0,0.12662302,0.946945
139.0,0.11579189,0.9568228
140.0,0.1510757,0.93686354
141.0,0.12558769,0.95
142.0,0.12920567,0.9525458
143.0,0.124993145,0.9478615
144.0,0.13982107,0.946334
145.0,0.12553664,0.94663954
146.0,0.13849093,0.9437882
147.0,0.12774839,0.9448065
148.0,0.139433,0.945723
149.0,0.14007874,0.9435845
150.0,0.13598476,0.93910384
151.0,0.1398567,0.9370672
152.0,0.12711558,0.9450102
153.0,0.12121289,0.9546843
154.0,0.13627955,0.9422607
155.0,0.1160371,0.95173115
156.0,0.13417132,0.94450104
